Train Loss,no train rows,Test Loss,No test rows,Time taken (M),Date,Time
9689020.247,675520,6441359.2,168896,2.8,16/01/2023,11:15:00
11307691.28,675520,7236495.013,168896,2.64,16/01/2023,11:17:00
10636633.47,675520,6441177.388,168896,2.85,16/01/2023,11:18:00
10473541.36,675520,6631710.661,168896,2.78,16/01/2023,11:19:00
10263275.69,675520,6909184.117,168896,2.82,16/01/2023,11:21:00
10056517.07,675520,6574959.594,168896,2.78,16/01/2023,11:22:00
9737721.346,675520,6382781.633,168896,2.79,16/01/2023,11:24:00
9121203.067,675520,6283922.991,168896,2.86,16/01/2023,11:25:00
8636688.475,675520,6287614.64,168896,2.84,16/01/2023,11:26:00
8176537.361,675520,6511730.29,168896,2.82,16/01/2023,11:28:00
7938674.777,675520,6295363.496,168896,2.8,16/01/2023,11:29:00
9232560.648,675520,7139867.628,168896,2.58,16/01/2023,11:31:00
8639391.518,675520,6365501.216,168896,2.84,16/01/2023,11:32:00
8265781.886,675520,6333187.278,168896,2.81,16/01/2023,11:33:00
7739089.072,675520,6349301.209,168896,2.81,16/01/2023,11:35:00
7475816.349,675520,6261907.195,168896,2.8,16/01/2023,11:36:00
7401510.695,675520,6180842.421,168896,2.82,16/01/2023,11:38:00
7324045.34,675520,6110369.745,168896,2.84,16/01/2023,11:39:00
7265969.435,675520,6585601.072,168896,2.81,16/01/2023,11:41:00
7239899.017,675520,6208844.27,168896,2.83,16/01/2023,11:42:00
7156769.166,675520,6133020.397,168896,2.82,16/01/2023,11:43:00
17742932.49,675520,9782052.527,168896,2.62,16/01/2023,11:45:00
17027942.22,675520,8377142.396,168896,2.86,16/01/2023,11:46:00
16609649.85,675520,9170003.733,168896,2.85,16/01/2023,11:48:00
16266708.31,675520,7946680.689,168896,2.91,16/01/2023,11:49:00
15967122.63,675520,8270287.082,168896,3.02,16/01/2023,11:51:00
15702056.38,675520,8901561.239,168896,2.92,16/01/2023,11:52:00
15339525.62,675520,8277271.629,168896,2.88,16/01/2023,11:53:00
15064083.61,675520,8358347.153,168896,2.87,16/01/2023,11:55:00
12645455.03,675520,7350327.202,168896,2.88,16/01/2023,11:56:00
12262887.09,675520,7585633.489,168896,2.87,16/01/2023,11:58:00
10129066.49,675520,6809128.676,168896,2.69,16/01/2023,11:59:00
9576261.625,675520,6956099.65,168896,2.88,16/01/2023,12:01:00
9407834.257,675520,6467584.011,168896,2.88,16/01/2023,12:02:00
9269599.369,675520,6364076.976,168896,2.94,16/01/2023,12:04:00
9154025.644,675520,6393158.284,168896,2.88,16/01/2023,12:05:00
8961603.914,675520,6830699.496,168896,2.98,16/01/2023,12:07:00
8840385.329,675520,6451023.07,168896,2.9,16/01/2023,12:08:00
8720603.619,675520,6258802.014,168896,2.9,16/01/2023,12:09:00
8414184.511,675520,6057433.364,168896,2.88,16/01/2023,12:11:00
8205942.091,675520,6132019.867,168896,2.88,16/01/2023,12:12:00
8971819.344,675520,6753577.615,168896,2.68,16/01/2023,12:14:00
8492877.509,675520,6448968.445,168896,2.88,16/01/2023,12:15:00
8333342.182,675520,6438346.295,168896,3.03,16/01/2023,12:17:00
8195848.985,675520,6442954.153,168896,2.96,16/01/2023,12:18:00
